time,[AB42_O1_ISF],[AB42_O25_ISF],[IDE_activity_ISF],[AB42_O2_ISF],[AB42_O3_ISF],[AB42_O4_ISF],[AB42_O5_ISF],[AB42_O6_ISF],[AB42_O7_ISF],[AB42_O8_ISF],[AB42_O9_ISF],[AB42_O10_ISF],[AB42_O11_ISF],[AB42_O12_ISF],[AB42_O13_ISF],[AB42_O14_ISF],[AB42_O15_ISF],[AB42_O16_ISF],[AB42_O17_ISF],[AB42_O18_ISF],[AB42_O19_ISF],[AB42_O20_ISF],[AB42_O21_ISF],[AB42_O22_ISF],[AB42_O23_ISF],[AB42_O24_ISF]
32227.42474916388,2.811519511877139,0.00035767816072956713,236.77285087126438,6.156598683961322e-05,8.192874762598093e-05,0.00027020280969796914,0.0002455027094770576,0.001162778061512691,0.0005506094338228422,0.00026065388903239134,0.0001239809993766154,0.00011058521014260648,0.00010005043243519471,0.00015534691660491594,0.00012858310962551945,0.00010630688610618948,8.774151236652343e-05,7.236429798600616e-05,6.473246307666945e-05,5.777350245234701e-05,5.427518305877653e-05,5.082165770354048e-05,4.746388512579172e-05,4.422806101574259e-05,4.060858171564072e-05,1.5033604469531158e-05
35157.19063545151,2.8228716687586233,0.0004293655700182955,234.76709526285518,6.206395983318757e-05,8.260054598958925e-05,0.0002725272158529264,0.0002477110720501269,0.0011757427235227981,0.0005579382903218246,0.0002646881372173696,0.00012616724508268608,0.00011259078605791673,0.00010210167513579722,0.0001669450157192972,0.00013835706339299827,0.0001146088206765326,9.487537347555992e-05,7.858232588417403e-05,7.070492490624716e-05,6.355258428048318e-05,6.019730010388701e-05,5.682896066643225e-05,5.346798478196501e-05,5.013401656188861e-05,4.626743007275803e-05,1.7228133062890535e-05
38086.956521739135,2.8342672722425553,0.0005069753915370727,232.77833085738948,6.256585482668323e-05,8.327767367714987e-05,0.0002748706035467775,0.00024993798057755453,0.0011888402629584066,0.0005653565742201018,0.00026877974020150233,0.00012838902901050368,0.00011462979546034378,0.00010419297015625578,0.00017895617191362995,0.00014855219475779646,0.00012323210288182082,0.00010217115740948518,8.479111758653184e-05,7.649479997036522e-05,6.902065581009128e-05,6.573097994077265e-05,6.246071439324758e-05,5.91946724319453e-05,5.59166043996392e-05,5.196518758930148e-05,1.947830698370637e-05
41016.722408026755,2.8457064701867947,0.0005906383730031915,230.80641371859932,6.307170147398401e-05,8.39601711328429e-05,0.0002772331190727348,0.0002521835800099704,0.0012020719100828013,0.0005728652639755068,0.00027292943025147647,0.00013064687216203264,0.00011670264658862141,0.00010631532829200042,0.0001908437393944172,0.00015881291595988586,0.00013203573240428942,0.00010968422519925742,9.118876032125269e-05,8.240058929314843e-05,7.449666690448422e-05,7.114708176702418e-05,6.786600122669482e-05,6.46324111113817e-05,6.141066964276266e-05,5.743686649257578e-05,2.167103314303879e-05
43946.48829431438,2.8571894109637666,0.0006804348297196896,228.8512011295323,6.358152964049735e-05,8.46480790905693e-05,0.0002796149097831447,0.00025444801635736175,0.0012154389055411311,0.0005804653477952348,0.000277137948385191,0.00013294130049769316,0.00011880962324158483,0.00010846069771200314,0.00020236660412996336,0.00016882611899293008,0.00014071797286230967,0.00011718563366618026,9.765150228233865e-05,8.84151448262177e-05,8.008301623723814e-05,7.663699685089598e-05,7.327344664823813e-05,6.998502591740735e-05,6.674057520437702e-05,6.269844785982631e-05,2.379430394766239e-05
46876.25418060201,2.8687162430695525,0.0007763293721176775,226.9125515822232,6.409536938251934e-05,8.53414385451609e-05,0.0002820161239897089,0.00025673143659324523,0.00122894249953651,0.0005881578228212406,0.00028140604332439257,0.00013527284777751489,0.000120951180948916,0.00011063001117320825,0.00021367474002176475,0.00017861103829858188,0.00014919693839315112,0.00012453498291695652,0.0001040246148344821,9.439770759408715e-05,8.56885151653446e-05,8.218218457036686e-05,7.874489772540216e-05,7.537962373778112e-05,7.206520960306714e-05,6.789834596237282e-05,2.59010547240392e-05
49806.020066889636,2.8802871150661398,0.0008782605960477204,224.9903247674527,6.461325095120308e-05,8.604029075791703e-05,0.000284436910975015,0.0002590339886583441,0.0012425839519083195,0.0005959436954215937,0.00028573447218147496,0.00013764205668400628,0.00012312791645388996,0.00011282834760229861,0.00022497727292797605,0.00018833803420659873,0.00015758136163530054,0.00013177414607613096,0.00011029216672760393,0.00010028545985540088,9.122569523320595e-05,8.769289277629315e-05,8.421656458984521e-05,8.079916157313441e-05,7.74216423893295e-05,7.311815505462727e-05,2.8029104057667006e-05
52735.78595317726,2.8919021759995793,0.0009862136351765779,223.08438156459195,6.513520482306746e-05,8.674467729819735e-05,0.0002868774211445747,0.00026135582160881213,0.001256364532813849,0.0006038239813482648,0.00029012400017798556,0.0001400494768678947,0.00012534043655455232,0.00011505898550858622,0.0002363427932065382,0.0001981094000036854,0.00016598192705746334,0.000139000458626576,0.00011652361586593314,0.00010611441963713976,9.669399628391945e-05,9.313482841375457e-05,8.963284895278147e-05,8.618521360268189e-05,8.27678658886415e-05,7.834582497862495e-05,3.017905762248922e-05
55665.55183946488,2.9035615753237134,0.001100221310251954,221.19458403153408,6.566126169511178e-05,8.745464003556629e-05,0.00028933780598467323,0.00026369708556721224,0.0012702855227268487,0.000611799706036866,0.00029457540110482605,0.00014249566452410027,0.00012758929636308522,0.0001173223300072508,0.0002477262061770384,0.0002079184736069543,0.000174425486780907,0.00014626342818554718,0.00012277804327293773,0.00011194536255512474,0.00010214316016463152,9.85381694514848e-05,9.499845846335887e-05,9.151833182844913e-05,8.806841376595296e-05,8.354252350204204e-05,3.2335961437697415e-05
58595.31772575251,2.915265462760003,0.0012203312350486985,219.32079539471064,6.619145247184816e-05,8.817022112442082e-05,0.00029181821804250235,0.0002660579317338753,0.0012843482128136342,0.00061987190472142,0.00029908945723521654,0.0001449811822412169,0.00012987501716421902,0.00011961778447409467,0.0002590829044251725,0.00021772305156956696,0.00018288313873271916,0.00015355270344530306,0.00012906357908550053,0.00011780397638641131,0.00010761055609223184,0.00010394590554202413,0.00010035220726360185,9.682465065290606e-05,9.333190338359715e-05,8.869985339564003e-05,3.449394261061233e-05
