time,[AB42_O1_ISF],[AB42_O25_ISF],[IDE_activity_ISF],[AB42_O2_ISF],[AB42_O3_ISF],[AB42_O4_ISF],[AB42_O5_ISF],[AB42_O6_ISF],[AB42_O7_ISF],[AB42_O8_ISF],[AB42_O9_ISF],[AB42_O10_ISF],[AB42_O11_ISF],[AB42_O12_ISF],[AB42_O13_ISF],[AB42_O14_ISF],[AB42_O15_ISF],[AB42_O16_ISF],[AB42_O17_ISF],[AB42_O18_ISF],[AB42_O19_ISF],[AB42_O20_ISF],[AB42_O21_ISF],[AB42_O22_ISF],[AB42_O23_ISF],[AB42_O24_ISF]
621110.3678929766,3.470781898698399,962.2179520896276,66.8332596918576,0.00021576640335856602,9.423069935942124e-05,8.637561780541037e-05,7.834551200717988e-05,7.078440230114295e-05,6.384247185542525e-05,5.753248267942275e-05,5.1863623334849883e-05,8.033810339800546e-05,0.021885977967486935,16.44539346980184,15.557563094935695,14.717153747022156,13.921855279746337,13.169539153016553,12.578982374138523,12.015427794484475,11.951483225230232,11.887867004541512,11.82459886847387,11.762990296227187,12.67052874558598,734.5433495563087
624040.1337792643,3.401323604705582,1037.8095640837018,66.2715657819995,0.00020726375761045526,9.036022781987689e-05,8.268097910713397e-05,7.48614272548581e-05,6.75170743388689e-05,6.078850161729455e-05,5.4684570213030744e-05,4.921819461343022e-05,8.17833221668146e-05,0.024473479925102685,18.04115878756644,17.061183005094303,16.13391807463251,15.256770820050711,14.427357949794322,13.77833646801211,13.15910767061232,13.086958603372643,13.015206461929164,12.94387235221931,12.874422450460143,13.868034109678403,790.149326611971
626969.8996655518,3.3247446164343377,1118.9340791302345,65.71459257632117,0.00019807763561465914,8.618300110549105e-05,7.86980856760892e-05,7.111007178113784e-05,6.400356863778302e-05,5.750875128235211e-05,5.1630259081525485e-05,4.638588636295772e-05,8.385749334403069e-05,0.027476821618874114,19.821018126637235,18.73676564382836,17.711303666303444,16.74170728545051,15.825295973729459,15.110781419795519,14.429215114075834,14.347455868438077,14.26618014923328,14.185410407972672,14.106792172539958,15.195955881581188,849.0782813103219
629899.6655518395,3.240677294617716,1205.8789315287077,65.16230040010366,0.00018822415407738715,8.17078016396341e-05,7.443680903971085e-05,6.710221763174322e-05,6.025539866263036e-05,5.401532760302034e-05,4.838211031531796e-05,4.3379982701679355e-05,8.679034361801208e-05,0.03098459476467109,21.81122461914133,20.60846324623752,19.4715221180912,18.397084369780018,17.382120034554312,16.59401869893496,15.842449046709513,15.74936925939143,15.656883030198513,15.565013764903355,15.4756160659373,16.671061241798306,911.3090931296542
632829.4314381271,3.1488194857211353,1298.9168673419767,64.61464991207067,0.00017773711596933336,7.695165993560793e-05,6.991509414289015e-05,6.285644109028394e-05,5.6291574503765585e-05,5.032750640281144e-05,4.495951396696187e-05,4.022039844479681e-05,9.088842870864847e-05,0.035108366646783164,24.042411263802,22.704358858744783,21.44030760688905,20.24647342021006,19.11941192931396,18.248373731627876,17.417953412211443,17.311461650938046,17.205704740171946,17.100707559341327,16.998570375752017,18.312468531140503,976.7563442486882
635759.1973244147,3.0489718982340186,1398.296977105543,64.07160210158598,0.00016667196122002533,7.194162069486913e-05,6.51606089163625e-05,5.840063709316735e-05,5.213997546449357e-05,4.647296499276289e-05,4.138979086686224e-05,3.693472704965728e-05,9.656192251018798e-05,0.03998914316364254,26.55022758522421,25.057003200661743,23.64736480493446,22.31696651465695,21.061868554572737,20.097067701724015,19.177565573970252,19.055101772387395,18.933554307305652,18.812949014014027,18.69567658863607,20.141844008693088,1045.2543315390103
638688.9632107024,2.941086119802552,1504.2339322698015,63.533118285874416,0.0001551096777230371,6.671645449520744e-05,6.021230491837323e-05,5.3773424563631296e-05,4.783860727793099e-05,4.248889464033391e-05,3.770915786467762e-05,3.3559151384967565e-05,0.00010436100719574472,0.045805438770582664,29.37591390741002,27.703879042955837,26.126737509045977,24.639461484897044,23.23751362650332,22.16640136951091,21.145972301900716,21.004398436801733,20.863975773077446,20.724730456846864,20.589398360831918,22.18352726548022,1116.5396553050045
641618.72909699,2.8253239295713364,1616.895493915121,62.999160107266746,0.00014316029284264115,6.132813184903181e-05,5.512170636364907e-05,4.902522593819165e-05,4.34364779331031e-05,3.842269193821379e-05,3.396326144291653e-05,3.0138978327187432e-05,0.00011502481906776148,0.05278303464022607,32.566669925023504,30.687656143418536,28.916964952378564,27.248733859556737,25.677698502355234,24.485741538679793,23.35068515151897,23.18616408093383,23.023098032866606,22.861512730707712,22.70455746237152,24.464450407034622,1190.2335995104295
644548.4949832776,2.702125527711926,1736.3886420584274,62.469689530467264,0.00013096494244362294,5.584259782772413e-05,4.995348628545274e-05,4.421866695895085e-05,3.899381646256648e-05,3.433199281649971e-05,3.020702846491727e-05,2.672851769023095e-05,0.00012954608365378165,0.061206156024329814,36.17557743480312,34.05601905122723,32.0608315936598,30.18312192383181,28.416734270366184,27.087159272131434,25.82168519005534,25.629552757720262,25.43926843655776,25.250856238556302,25.067963297600798,27.01375765856175,1265.8264728488268
647478.2608695653,2.572280537077913,1862.7451037488995,61.9446688398436,0.0001186954778014219,5.0339374916682525e-05,4.47848464369122e-05,3.942773850579728e-05,3.4581056956327593e-05,3.0283521819957427e-05,2.6503421863048645e-05,2.3390049879548654e-05,0.0001492540573352926,0.07142913904987959,40.260724361790345,37.86074792048311,35.604418412945215,33.483561573243,31.49092207549206,30.004513735662904,28.59055738940766,28.365207059424176,28.14220972673458,27.921586438586004,27.707587784137125,29.86193653943635,1342.6673380327677
650408.0267558529,2.436989005161442,1995.9076796259674,61.42406063674239,0.00010655012030385793,4.490932867122229e-05,3.970313038615766e-05,3.4735303094352376e-05,3.027626474402126e-05,2.6350450373851677e-05,2.2920735009892455e-05,2.0191463695299135e-05,0.0001759155646717153,0.0838865459010342,44.88306435275032,42.155646064746115,39.59510467567013,37.191666417893146,34.936713821206595,33.27173109534724,31.688879717764262,31.42369059925856,31.161496030221908,30.902312238524303,30.65112442816876,33.03928616173098,1419.9639132872694
653337.7926421405,2.297893238796746,2135.7193356505186,60.90782783682294,9.47440682360903e-05,3.965012650383551e-05,3.480122617823997e-05,3.022850685196714e-05,2.6160588496611194e-05,2.2607925287787517e-05,1.952823872978129e-05,1.7202553055635975e-05,0.00021184839239382476,0.09909813357694416,50.102518799114755,46.9928919001652,44.078159631874485,41.34654822711672,38.787751501713736,36.92006073487018,35.14567972293943,34.833034600483984,34.52418473194335,34.21913913341892,33.92377993376189,36.57355369764311,1496.7981671253735
656267.5585284281,2.157055097471879,2281.917606215592,60.39593366741728,8.349425249614351e-05,3.465913493752632e-05,3.0170619597838457e-05,2.5992041700447404e-05,2.231178269652994e-05,1.9126883397262977e-05,1.6390311739997254e-05,1.4490088252993269e-05,0.000260030986108594,0.11766339182481089,55.971972958651705,52.417547884154686,49.09172350038972,45.980236517448745,43.07069380428803,40.97423239925097,38.983893571511196,38.61534369636975,38.25156441568048,37.89255598104702,37.54529364167114,40.48672430723878,1572.1626071768824
659197.3244147158,2.016859143696606,2434.1367577242963,59.888341664908346,7.300008269612772e-05,3.0024730396043115e-05,2.589301270605187e-05,2.2100274699908574e-05,1.879680295534118e-05,1.59670795257464e-05,1.3559903951079966e-05,1.211244506071776e-05,0.0003241783004258068,0.14023959075860898,62.52935007477444,58.46043907957472,54.66042538621167,51.11195599754253,47.80008762543094,45.44774520250407,43.21604582645463,42.782683243910164,42.35523750235404,41.93369948693189,41.52637526044158,44.791166215681635,1645.0191078061614
662127.0903010034,1.8798354774934412,2591.919384419676,59.38501567213491,6.342303935768099e-05,2.581680017549678e-05,2.203147768685379e-05,1.8608920280820288e-05,1.5664228684423677e-05,1.3170330887940438e-05,1.1072569376368256e-05,1.0114919394994808e-05,0.0004087381744423677,0.1674980668283984,69.78862551182968,65.13023093896345,60.78840189906889,56.742017306046954,52.97304638984757,50.338024020101486,47.83983564234965,47.33289412566171,46.83315116599203,46.34059250923689,45.86513878700006,49.48572693180765,1714.3761275456754
665056.856187291,1.7484222907257014,2754.737226262826,58.88591983581532,5.4869632893804834e-05,2.2079825788241505e-05,1.8624205607965125e-05,1.5549739777386152e-05,1.2939609228244022e-05,1.075642898431911e-05,8.942938976735793e-06,8.527012836969518e-06,0.000518758562235028,0.20005886951857269,77.73179078919021,72.4065317014555,67.45341808607093,62.84680068489595,58.56498840207154,55.622506826022594,52.834544665894214,52.24617734674229,51.66636836744647,51.095103814343,50.54423998435284,54.55257717159978,1779.3731959404442
667986.6220735786,1.6247227060031373,2922.018936029418,58.391018603993544,4.738353191551664e-05,1.8829430752957296e-05,1.5681628195400732e-05,1.2928135166159526e-05,1.0623738068918897e-05,8.722062401316738e-06,7.164234791386706e-06,7.362215766966227e-06,0.0006595867313257031,0.23841039144327647,86.30399636489754,80.23593652257205,74.60369546872072,69.37628996881705,64.52778009879803,61.2569512480521,58.15950618988958,57.48365682132855,56.81770842248204,56.16165813624828,55.52965333147635,59.955787944798985,1839.3556358797214
670916.3879598662,1.510309091058033,3093.1804829498483,57.90027672350637,4.094749211568536e-05,1.6053844223053315e-05,1.3188455716878969e-05,1.0725661584705491e-05,8.695483943890836e-06,7.043928548968018e-06,5.711609072338724e-06,6.620342556182254e-06,0.0008364037264568098,0.2828294756599411,95.41392332013594,88.53283991565993,82.15906479241958,76.25548589092834,70.7913532844198,67.17685636761831,63.75535092529184,62.98851798782903,62.23279950023413,61.488218284536195,60.771589163062075,65.64222979517535,1893.9226485693443
673846.1538461539,1.4061291990051892,3267.6534890224234,57.41365923752129,3.549527519409301e-05,1.3719666695769362e-05,1.1109380627686867e-05,8.905762253663918e-06,7.117549853860943e-06,5.6844595020017815e-06,4.547782097262907e-06,6.291041009546662e-06,0.001053653452041505,0.333321273065746,104.93999060906293,97.1853241962659,90.01657464315865,83.38974111354449,77.26876291618835,73.30200579868315,69.54808830617178,68.68981831648473,67.8436382677927,67.00961301325154,66.20760372530775,71.5448618355981,1942.9386864998053
676775.9197324415,1.312515579042038,3444.9076423647243,56.93113148284987,3.0927958655380235e-05,1.1779488202956533e-05,9.396713331307286e-06,7.421167670867997e-06,5.843567919201032e-06,4.598589347295209e-06,3.6294542190525865e-06,6.357178475445526e-06,0.0013144729859480093,0.38959418120210204,114.74107517232702,106.06500952946305,98.05950088545163,90.67299174400374,83.86370387060694,79.54325655640308,75.45523669014071,74.50823428385567,73.5739733919469,72.65257699573696,71.7673145139188,77.58778467259702,1986.508448121489
